#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACOX1	PLIN2	9606.ENSP00000293217	9606.ENSP00000276914	0	0	0	0	0.063	0	0	0.524	0.535
ACOX1	ACTB	9606.ENSP00000293217	9606.ENSP00000349960	0	0	0	0	0	0	0	0.415	0.415
ACOX1	HSP90B1	9606.ENSP00000293217	9606.ENSP00000299767	0	0	0	0	0	0.172	0	0.337	0.428
ACOX1	DBI	9606.ENSP00000293217	9606.ENSP00000439012	0.052	0	0	0	0.064	0.212	0	0.338	0.475
ACOX1	ALDH3A2	9606.ENSP00000293217	9606.ENSP00000345774	0.045	0	0	0	0.063	0	0.600	0.350	0.736
ACOX1	APOA2	9606.ENSP00000293217	9606.ENSP00000356969	0	0	0	0	0.063	0	0.900	0.143	0.912
ACOX1	PIPOX	9606.ENSP00000293217	9606.ENSP00000317721	0	0	0	0	0.063	0	0.900	0.549	0.954
ACOX1	ACSL6	9606.ENSP00000293217	9606.ENSP00000368566	0.051	0	0	0	0.202	0.369	0.900	0.462	0.969
ACOX1	SCP2	9606.ENSP00000293217	9606.ENSP00000360569	0	0	0	0	0.270	0.617	0.900	0.677	0.989
ACOX1	HSD17B4	9606.ENSP00000293217	9606.ENSP00000420914	0.071	0	0	0	0.236	0.146	0.900	0.883	0.991
ACP2	CTSD	9606.ENSP00000256997	9606.ENSP00000236671	0	0	0	0	0.100	0	0	0.470	0.502
ACP2	HBA2	9606.ENSP00000256997	9606.ENSP00000251595	0	0	0	0	0	0	0	0.501	0.501
ACP2	TPP1	9606.ENSP00000256997	9606.ENSP00000299427	0	0	0	0	0.087	0	0	0.419	0.447
ACP2	AQP4	9606.ENSP00000256997	9606.ENSP00000372654	0	0	0	0	0	0	0	0.451	0.451
ACP2	MDH2	9606.ENSP00000256997	9606.ENSP00000327070	0	0	0	0	0	0	0	0.465	0.465
ACP2	PGM1	9606.ENSP00000256997	9606.ENSP00000360124	0	0	0	0	0	0	0	0.572	0.572
ACP2	AK1	9606.ENSP00000256997	9606.ENSP00000362271	0	0	0	0	0	0.130	0	0.544	0.586
ACP2	MDH1	9606.ENSP00000256997	9606.ENSP00000438144	0	0	0	0	0.062	0	0	0.601	0.610
ACP2	LDHA	9606.ENSP00000256997	9606.ENSP00000445175	0	0	0	0	0	0	0	0.644	0.644
ACP2	ASAH1	9606.ENSP00000256997	9606.ENSP00000371152	0	0	0	0	0.062	0	0	0.648	0.655
ACP2	BLVRB	9606.ENSP00000256997	9606.ENSP00000263368	0	0	0	0	0	0	0.900	0	0.900
ACSL6	DECR1	9606.ENSP00000368566	9606.ENSP00000220764	0	0	0	0	0.471	0.068	0	0.227	0.585
ACSL6	CAT	9606.ENSP00000368566	9606.ENSP00000241052	0	0	0	0	0.066	0.397	0	0.237	0.533
ACSL6	SCD5	9606.ENSP00000368566	9606.ENSP00000316329	0	0	0	0	0.160	0.216	0	0.217	0.439
ACSL6	SCP2	9606.ENSP00000368566	9606.ENSP00000360569	0	0	0	0	0.516	0	0	0.068	0.530
ACSL6	HSD17B4	9606.ENSP00000368566	9606.ENSP00000420914	0	0	0	0	0.653	0	0	0.404	0.784
ACTB	MYH9	9606.ENSP00000349960	9606.ENSP00000216181	0	0	0	0	0.148	0.717	0.800	0.635	0.980
ACTB	SLC17A7	9606.ENSP00000349960	9606.ENSP00000221485	0	0	0	0	0	0	0	0.451	0.451
ACTB	NAMPT	9606.ENSP00000349960	9606.ENSP00000222553	0	0	0	0	0.062	0.056	0	0.418	0.440
ACTB	ITGB8	9606.ENSP00000349960	9606.ENSP00000222573	0	0	0	0	0	0.066	0.600	0.241	0.692
ACTB	FIS1	9606.ENSP00000349960	9606.ENSP00000223136	0	0	0	0	0.062	0.065	0	0.527	0.549
ACTB	PFN1	9606.ENSP00000349960	9606.ENSP00000225655	0	0	0	0	0.722	0.941	0.800	0.730	0.999
ACTB	VTN	9606.ENSP00000349960	9606.ENSP00000226218	0	0	0	0	0	0	0	0.435	0.435
ACTB	CD38	9606.ENSP00000349960	9606.ENSP00000226279	0	0	0	0	0	0	0	0.410	0.410
ACTB	GAPDH	9606.ENSP00000349960	9606.ENSP00000229239	0	0	0	0	0.344	0.382	0	0.938	0.972
ACTB	TPI1	9606.ENSP00000349960	9606.ENSP00000229270	0	0	0	0	0.093	0.243	0	0.416	0.564
ACTB	SKP1	9606.ENSP00000349960	9606.ENSP00000231487	0	0	0	0	0.062	0.058	0	0.432	0.455
ACTB	APOB	9606.ENSP00000349960	9606.ENSP00000233242	0	0	0	0	0	0	0	0.482	0.482
ACTB	ENO1	9606.ENSP00000349960	9606.ENSP00000234590	0	0	0	0	0.190	0.155	0	0.518	0.641
ACTB	CTSD	9606.ENSP00000349960	9606.ENSP00000236671	0	0	0	0	0.099	0.057	0	0.543	0.578
ACTB	APOA1	9606.ENSP00000349960	9606.ENSP00000236850	0	0	0	0	0	0	0	0.485	0.485
ACTB	TTR	9606.ENSP00000349960	9606.ENSP00000237014	0	0	0	0	0.049	0.062	0	0.423	0.440
ACTB	CAT	9606.ENSP00000349960	9606.ENSP00000241052	0	0	0	0	0.062	0.089	0	0.739	0.757
ACTB	HIST1H4F	9606.ENSP00000349960	9606.ENSP00000244537	0	0	0	0	0.058	0.863	0	0.576	0.940
ACTB	CANX	9606.ENSP00000349960	9606.ENSP00000247461	0	0	0	0	0.079	0	0	0.708	0.720
ACTB	TUBA4A	9606.ENSP00000349960	9606.ENSP00000248437	0	0	0	0	0.062	0.149	0.300	0.456	0.655
ACTB	HSPB1	9606.ENSP00000349960	9606.ENSP00000248553	0	0	0	0	0.062	0.061	0	0.611	0.628
ACTB	APOE	9606.ENSP00000349960	9606.ENSP00000252486	0	0	0	0	0.049	0.116	0	0.621	0.654
ACTB	ACTN4	9606.ENSP00000349960	9606.ENSP00000252699	0	0	0	0	0.111	0.259	0.800	0.483	0.922
ACTB	SNAP25	9606.ENSP00000349960	9606.ENSP00000254976	0	0	0	0	0.062	0	0	0.488	0.499
ACTB	ADAM10	9606.ENSP00000349960	9606.ENSP00000260408	0	0	0	0	0	0	0	0.568	0.569
ACTB	ITGAV	9606.ENSP00000349960	9606.ENSP00000261023	0	0	0	0	0.062	0	0.600	0.434	0.769
ACTB	ATP5B	9606.ENSP00000349960	9606.ENSP00000262030	0	0	0	0	0.210	0.185	0	0.488	0.642
ACTB	RAB2A	9606.ENSP00000349960	9606.ENSP00000262646	0	0	0	0	0.079	0.269	0	0.200	0.415
ACTB	PRDX1	9606.ENSP00000349960	9606.ENSP00000262746	0	0	0	0	0.064	0.070	0	0.471	0.499
ACTB	SYP	9606.ENSP00000349960	9606.ENSP00000263233	0	0	0	0	0	0.057	0	0.664	0.670
ACTB	CD81	9606.ENSP00000349960	9606.ENSP00000263645	0	0	0	0	0.097	0.071	0	0.487	0.532
ACTB	TUBB4A	9606.ENSP00000349960	9606.ENSP00000264071	0	0	0	0	0.085	0.166	0.300	0.456	0.670
ACTB	YWHAE	9606.ENSP00000349960	9606.ENSP00000264335	0	0	0	0	0.095	0.103	0	0.396	0.467
ACTB	RAB7A	9606.ENSP00000349960	9606.ENSP00000265062	0	0	0	0	0.132	0.149	0	0.562	0.649
ACTB	SLC1A3	9606.ENSP00000349960	9606.ENSP00000265113	0	0	0	0	0	0	0	0.444	0.444
ACTB	VDAC1	9606.ENSP00000349960	9606.ENSP00000265333	0	0	0	0	0.065	0.143	0	0.619	0.668
ACTB	UQCRC2	9606.ENSP00000349960	9606.ENSP00000268379	0	0	0	0	0.051	0.115	0	0.402	0.454
ACTB	CDH2	9606.ENSP00000349960	9606.ENSP00000269141	0	0	0	0	0	0	0	0.763	0.763
ACTB	ARHGDIA	9606.ENSP00000349960	9606.ENSP00000269321	0	0	0	0	0.168	0.082	0	0.459	0.551
ACTB	SOD1	9606.ENSP00000349960	9606.ENSP00000270142	0	0	0	0	0	0.129	0	0.631	0.665
ACTB	RPS11	9606.ENSP00000349960	9606.ENSP00000270625	0	0	0	0	0.116	0.092	0	0.367	0.448
ACTB	S100A11	9606.ENSP00000349960	9606.ENSP00000271638	0	0	0	0	0.096	0.213	0	0.297	0.456
ACTB	CALM2	9606.ENSP00000349960	9606.ENSP00000272298	0	0	0	0	0.053	0.247	0	0.275	0.438
ACTB	RPS27A	9606.ENSP00000349960	9606.ENSP00000272317	0	0.005	0	0	0.063	0.168	0	0.395	0.488
ACTB	ATP6V1A	9606.ENSP00000349960	9606.ENSP00000273398	0	0	0	0	0.070	0.316	0	0.234	0.470
ACTB	FTH1	9606.ENSP00000349960	9606.ENSP00000273550	0	0	0	0	0.107	0.255	0	0.423	0.583
ACTB	EGFR	9606.ENSP00000349960	9606.ENSP00000275493	0	0	0	0	0	0.415	0	0.766	0.857
ACTB	PLIN2	9606.ENSP00000349960	9606.ENSP00000276914	0	0	0	0	0	0	0	0.427	0.427
ACTB	SLC1A2	9606.ENSP00000349960	9606.ENSP00000278379	0	0	0	0	0	0	0	0.502	0.502
ACTB	RPS3	9606.ENSP00000349960	9606.ENSP00000278572	0	0	0	0	0.087	0.090	0	0.340	0.404
ACTB	MYL9	9606.ENSP00000349960	9606.ENSP00000279022	0	0	0	0	0.063	0.153	0.800	0.404	0.892
ACTB	HNRNPU	9606.ENSP00000349960	9606.ENSP00000283179	0	0	0	0	0.062	0.494	0	0.299	0.638
ACTB	THY1	9606.ENSP00000349960	9606.ENSP00000284240	0	0	0	0	0	0	0	0.647	0.647
ACTB	UCHL1	9606.ENSP00000349960	9606.ENSP00000284440	0	0	0	0	0.049	0	0	0.476	0.480
ACTB	RHOC	9606.ENSP00000349960	9606.ENSP00000285735	0	0	0	0	0.332	0.142	0.600	0.489	0.867
ACTB	GNAQ	9606.ENSP00000349960	9606.ENSP00000286548	0	0	0	0	0.058	0.112	0	0.383	0.440
ACTB	S100B	9606.ENSP00000349960	9606.ENSP00000291700	0	0	0	0	0	0	0	0.518	0.518
ACTB	ARPC2	9606.ENSP00000349960	9606.ENSP00000295685	0	0	0	0	0.221	0.233	0.600	0.369	0.829
ACTB	CCT3	9606.ENSP00000349960	9606.ENSP00000295688	0	0	0	0	0.062	0.227	0.600	0.317	0.775
ACTB	SYN1	9606.ENSP00000349960	9606.ENSP00000295987	0	0	0	0	0	0.102	0	0.553	0.582
ACTB	ANXA5	9606.ENSP00000349960	9606.ENSP00000296511	0	0	0	0	0.090	0.151	0	0.888	0.906
ACTB	GRIA2	9606.ENSP00000349960	9606.ENSP00000296526	0	0	0	0	0	0.061	0	0.501	0.511
ACTB	ITGA2	9606.ENSP00000349960	9606.ENSP00000296585	0	0	0	0	0.047	0	0.600	0.435	0.766
ACTB	MAP1B	9606.ENSP00000349960	9606.ENSP00000296755	0	0	0	0	0	0.213	0	0.352	0.468
ACTB	NPM1	9606.ENSP00000349960	9606.ENSP00000296930	0	0	0	0	0.062	0.114	0	0.466	0.518
ACTB	HSPA9	9606.ENSP00000349960	9606.ENSP00000297185	0	0	0	0	0.062	0.182	0	0.480	0.567
ACTB	HSP90B1	9606.ENSP00000349960	9606.ENSP00000299767	0	0	0	0	0.062	0.112	0	0.543	0.586
ACTB	PPIB	9606.ENSP00000349960	9606.ENSP00000300026	0	0	0	0	0.096	0.060	0	0.535	0.571
ACTB	MAP1A	9606.ENSP00000349960	9606.ENSP00000300231	0	0	0	0	0	0.270	0	0.412	0.552
ACTB	PDIA3	9606.ENSP00000349960	9606.ENSP00000300289	0	0	0	0	0.086	0.130	0	0.509	0.576
ACTB	TUBA1A	9606.ENSP00000349960	9606.ENSP00000301071	0	0	0	0	0.166	0.176	0.300	0.584	0.774
ACTB	PRDX2	9606.ENSP00000349960	9606.ENSP00000301522	0	0	0	0	0.062	0.070	0	0.469	0.497
ACTB	GUSB	9606.ENSP00000349960	9606.ENSP00000302728	0	0	0	0	0	0	0	0.719	0.719
ACTB	RPS9	9606.ENSP00000349960	9606.ENSP00000302896	0	0	0	0	0.063	0.075	0	0.506	0.534
ACTB	GLUL	9606.ENSP00000349960	9606.ENSP00000307900	0	0	0	0	0.062	0	0	0.475	0.487
ACTB	BANF1	9606.ENSP00000349960	9606.ENSP00000310275	0	0	0	0	0.098	0.344	0	0.709	0.813
ACTB	RPL4	9606.ENSP00000349960	9606.ENSP00000311430	0	0	0	0	0.065	0.080	0	0.522	0.553
ACTB	RAB6A	9606.ENSP00000349960	9606.ENSP00000311449	0	0	0	0	0.289	0.058	0	0.456	0.604
ACTB	NEFH	9606.ENSP00000349960	9606.ENSP00000311997	0	0	0	0	0.049	0	0	0.445	0.450
ACTB	RAB8B	9606.ENSP00000349960	9606.ENSP00000312734	0	0	0	0	0.076	0.297	0	0.262	0.479
ACTB	GNAI2	9606.ENSP00000349960	9606.ENSP00000312999	0	0	0	0	0.216	0.165	0	0.160	0.403
ACTB	CLU	9606.ENSP00000349960	9606.ENSP00000315130	0	0	0	0	0	0	0	0.400	0.400
ACTB	BAIAP2	9606.ENSP00000349960	9606.ENSP00000316338	0	0	0	0	0	0.270	0.800	0.160	0.866
